"app_id","app_name","line","onprem_qvd","status","cloud_target","note"
"7862b8ac-75fd-40a5-86b4-e91124882e67","05 - Grant Acquittals Report","554","[lib://Curated Data Store:DataFiles/10 Landing Area/GPS/Milestone Overdue Month.qvd]","already-mapped","",""
"7862b8ac-75fd-40a5-86b4-e91124882e67","05 - Grant Acquittals Report","565","[lib://Curated Data Store:DataFiles/10 Landing Area/GPS/Grant Activity Acquittal Error.qvd]","already-mapped","",""
"bd86831a-0695-41d8-a907-c3a3e413d845","05 - Grant Acquittals Report","21","// directory lib://AppData/DEV/AzureDataLake/GPS/;","commented","",""
"bd86831a-0695-41d8-a907-c3a3e413d845","05 - Grant Acquittals Report","22","LIB://AppDataProd/AzureDataLake/GPS/;","directory-statement","",""
"bd86831a-0695-41d8-a907-c3a3e413d845","05 - Grant Acquittals Report","53","[lib://AppDataProd/AzureDataLake/GPS/GPS Data Warehouse Load Time.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/GPS/Data Warehouse Load Time.qvd]",""
"bd86831a-0695-41d8-a907-c3a3e413d845","05 - Grant Acquittals Report","59","[lib://AppDataProd/AzureDataLake/FUSION/Grant Activity.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Grant Activity.qvd]",""
"bd86831a-0695-41d8-a907-c3a3e413d845","05 - Grant Acquittals Report","68","[lib://AppData/PROD\AzureDataLake\FUSION\Grant Activity Funding.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Grant Activity Funding.qvd]",""
"bd86831a-0695-41d8-a907-c3a3e413d845","05 - Grant Acquittals Report","75","[lib://AppData/PROD/AzureDataLake/FUSION/Financial Year.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Financial Year.qvd]",""
"bd86831a-0695-41d8-a907-c3a3e413d845","05 - Grant Acquittals Report","130","[lib://AppData\PROD\AzureDataLake\GPS\Grant Activity Acquittal.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/GPS/Grant Activity Acquittal.qvd]",""
"bd86831a-0695-41d8-a907-c3a3e413d845","05 - Grant Acquittals Report","177","[lib://AppData/PROD/AzureDataLake/GPS/Grant Activity Acquittal Item.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/GPS/Grant Activity Acquittal Item.qvd]",""
"bd86831a-0695-41d8-a907-c3a3e413d845","05 - Grant Acquittals Report","277","[lib://AppDataProd/AzureDataLake/FUSION/Grant Activity.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Grant Activity.qvd]",""
"bd86831a-0695-41d8-a907-c3a3e413d845","05 - Grant Acquittals Report","298","[lib://AppDataProd/AzureDataLake/FUSION/Source Organisation.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Source Organisation.qvd]",""
"bd86831a-0695-41d8-a907-c3a3e413d845","05 - Grant Acquittals Report","324","[lib://AppDataProd/AzureDataLake/FUSION/Organisation.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Organisation.qvd]",""
"bd86831a-0695-41d8-a907-c3a3e413d845","05 - Grant Acquittals Report","331","[lib://AppData/PROD\AzureDataLake\FUSION\Programme.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Programme.qvd]",""
"bd86831a-0695-41d8-a907-c3a3e413d845","05 - Grant Acquittals Report","348","[lib://AppData/PROD\AzureDataLake\FUSION\Programme Component.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Programme Component.qvd]",""
"bd86831a-0695-41d8-a907-c3a3e413d845","05 - Grant Acquittals Report","356","[lib://AppData/PROD/AzureDataLake/SSR/RGU Staff.qvd]","not-in-map","",""
"bd86831a-0695-41d8-a907-c3a3e413d845","05 - Grant Acquittals Report","369","[lib://AppData/PROD\AzureDataLake\FUSION\Grant Activity Funding.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Grant Activity Funding.qvd]",""
"bd86831a-0695-41d8-a907-c3a3e413d845","05 - Grant Acquittals Report","376","[lib://AppData/PROD/AzureDataLake/FUSION/Financial Year.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Financial Year.qvd]",""
"bd86831a-0695-41d8-a907-c3a3e413d845","05 - Grant Acquittals Report","506","[lib://AppData/PROD/AzureDataLake/GPS/Grant Managing Region.qvd]","multi-source","","FUSION/Grant Activity; FUSION/Source System; NA/NA"
"bd86831a-0695-41d8-a907-c3a3e413d845","05 - Grant Acquittals Report","530","[lib://AppDataProd/AzureDataLake/FUSION/PMC Region.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/PMC Region.qvd]",""
"bd86831a-0695-41d8-a907-c3a3e413d845","05 - Grant Acquittals Report","541","[lib://AppDataProd/AzureDataLake/FUSION/PMC Region.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/PMC Region.qvd]",""
"bd86831a-0695-41d8-a907-c3a3e413d845","05 - Grant Acquittals Report","588","[lib://AppData/PROD/AzureDataLake/SSR/Grant Activity Milestone.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/GPS/Grant Activity Milestone - Old.qvd]","depends-on-variable: vDaysoverdue"
"bd86831a-0695-41d8-a907-c3a3e413d845","05 - Grant Acquittals Report","609","[lib://AppData/PROD/AzureDataLake/SSR/Milestone Overdue Month.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/GPS/Milestone Overdue Month.qvd]",""
"bd86831a-0695-41d8-a907-c3a3e413d845","05 - Grant Acquittals Report","620","[lib://AppData/PROD/AzureDataLake/GPS/Grant Activity Acquittal Error.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/GPS/Grant Activity Acquittal Error.qvd]",""
"local:aurion-qvd-generator","AURION QVD Generator","106","[lib://AppData\PROD\AzureDataLake\AURION\Organisation Staff.qvd]","out-of-scope","","unclassified lib:// occurrence (no FROM/DIRECTORY context)"
"local:aurion-qvd-generator","AURION QVD Generator","109","//STORE [Grant Activity] into [lib://AppData\PROD\AzureDataLake\GPS\Grant Activity.csv] (txt);","commented","",""
"local:aurion-qvd-generator","AURION QVD Generator","164","[lib://AppData\PROD\AzureDataLake\AURION\NIAA Site Locations.qvd]","out-of-scope","","unclassified lib:// occurrence (no FROM/DIRECTORY context)"
"b2fedbec-fdb7-4f73-9d97-c58f2dfe902e","AZURE QVD Generator","230","[lib://AppData\$(Env)\$(AppName)\$(Process)\$(TableName).qvd]","out-of-scope","","unclassified lib:// occurrence (no FROM/DIRECTORY context)"
"b2fedbec-fdb7-4f73-9d97-c58f2dfe902e","AZURE QVD Generator","231","[lib://AppData\$(Env)\$(AppName)\$(Process)\csv\$(TableName).csv]","out-of-scope","","unclassified lib:// occurrence (no FROM/DIRECTORY context)"
"b2fedbec-fdb7-4f73-9d97-c58f2dfe902e","AZURE QVD Generator","405","[lib://AppData\$(Env)\$(AppName)\$(Process)\$(TableName).qvd]","out-of-scope","","unclassified lib:// occurrence (no FROM/DIRECTORY context)"
"b2fedbec-fdb7-4f73-9d97-c58f2dfe902e","AZURE QVD Generator","406","[lib://AppData\$(Env)\$(AppName)\$(Process)\csv\$(TableName).csv]","out-of-scope","","unclassified lib:// occurrence (no FROM/DIRECTORY context)"
"local:bushel-qvd-builder","Bushel QVD Builder","83","[lib://AppDataProd/AzureDataLake/$(vSchema)/$(vTable).QVD]","out-of-scope","","unclassified lib:// occurrence (no FROM/DIRECTORY context)"
"local:bushel-qvd-builder","Bushel QVD Builder","84","[lib://AppDataProd/AzureDataLake/$(vSchema)/$(vTable).QVD]","out-of-scope","","unclassified lib:// occurrence (no FROM/DIRECTORY context)"
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","109","[lib://Curated Data Store - DEV:DataFiles/10 Landing Area/AGIL/AGIL Location.qvd]","already-mapped","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","122","// FROM [lib://AppDataProd/AzureDataLake/NIAA/AGIL_Connectivity.qvd]","commented","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","131","[lib://Curated Data Store:DataFiles/30 Curated Data Store/Geospatial Reporting/*.qvd]","geospatial","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","135","//	FROM [lib://Data Preparation - DEV:DataFiles/30 Curated Data Store/Funding Decision/*.qvd] (qvd);","commented","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","137","[lib://Curated Data Store - DEV:DataFiles/30 Curated Data Store/Economic Indicators/*.qvd]","already-mapped","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","141","[lib://Curated Data Store:DataFiles/30 Curated Data Store/Grant Management/*.qvd]","already-mapped","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","159","//	FROM [lib://AppDataProd/Geospatial/ATSI Language.qvd] (qvd);","commented","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","176","//	FROM [lib://Curated Data Store - DEV:DataFiles/10 Landing Area/AIATSIS/AUSTLANG_vw.qvd] (qvd);","commented","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","192","// FROM [lib://Curated Data Store - DEV:DataFiles/10 Landing Area/abs/IARE_2021Census_I01A_Long.qvd]","commented","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","640","// FROM [lib://Curated Data Store - DEV:DataFiles/30 Curated Data Store/Geospatial Reporting/ASGS/Indigenous Location 2021.qvd]","commented","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","653","// FROM [lib://Curated Data Store - DEV:DataFiles/30 Curated Data Store/Geospatial Reporting/ASGS/Indigenous Area 2021.qvd]","commented","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","666","// FROM [lib://Curated Data Store - DEV:DataFiles/30 Curated Data Store/Geospatial Reporting/ASGS/Indigenous Region 2021.qvd]","commented","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","676","// FROM [lib://AppDataProd/Geospatial/STATE 2016.qvd]","commented","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","685","[lib://Curated Data Store - DEV:DataFiles/10 Landing Area/abs/Selected Person Characteristics by Indigenous Status by Sex.qvd]","already-mapped","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","690","//	FROM [lib://AppDataProd/AzureDataLake/ABS/2021 Census Datapacks x ILOC.qvd] (qvd);","commented","",""
