"app_id","app_name","kind","name","detail"
"local:01-qvds-ess-qvd-builder-subs","01 QVDs - ESS QVD Builder - Subs","variable","vSTART_SECTION_0_#","afa9646e-d078-4231-9fe0-601b859f2f04"
"local:01-qvds-ess-qvd-builder-subs","01 QVDs - ESS QVD Builder - Subs","variable","vEND_SECTION_0_#","27a11ddf-f5ca-4d9c-9922-3234fac6e7c1"
"local:01-qvds-ess-qvd-builder-subs","01 QVDs - ESS QVD Builder - Subs","variable","vSTART_SECTION_1_#","0df89d75-2a53-421c-9d87-1e28eef6e08e"
"local:01-qvds-ess-qvd-builder-subs","01 QVDs - ESS QVD Builder - Subs","variable","vEND_SECTION_1_#","b113b7a9-f2b8-4904-959c-43dd66f512bd"
"local:01-qvds-ess-qvd-builder-subs","01 QVDs - ESS QVD Builder - Subs","variable","vSTART_SECTION_2_#","87e6fc5b-13e4-4d78-ae1d-08b0cffaaf09"
"local:01-qvds-ess-qvd-builder-subs","01 QVDs - ESS QVD Builder - Subs","variable","vEND_SECTION_2_#","379e7179-b9df-487a-9dec-b1cc5a2f426b"
"local:01-qvds-ess-qvd-builder-subs","01 QVDs - ESS QVD Builder - Subs","variable","vSTART_SECTION_3_#","47e54c34-8fe8-4ce8-bce2-905309209536"
"local:01-qvds-ess-qvd-builder-subs","01 QVDs - ESS QVD Builder - Subs","variable","vEND_SECTION_3_#","47c26330-a469-4681-8898-490e4e70cd2f"
"local:01-qvds-ess-qvd-builder-subs","01 QVDs - ESS QVD Builder - Subs","variable","vSTART_SECTION_4_#","e73ad161-0a69-46f4-ba82-daada5f728f1"
"local:01-qvds-ess-qvd-builder-subs","01 QVDs - ESS QVD Builder - Subs","variable","vEND_SECTION_4_#","e4f7787d-0378-4306-83ca-1c29a170aa94"
"local:01-qvds-ess-qvd-builder-subs","01 QVDs - ESS QVD Builder - Subs","variable","vSTREAM","9af889b4-b5b6-4d84-8fef-7bb156fb4541"
"local:01-qvds-ess-qvd-builder-subs","01 QVDs - ESS QVD Builder - Subs","variable","vFile_New","524ea4d9-6490-4502-a422-ceef6c6c4499"
"local:01-qvds-ess-qvd-builder-subs","01 QVDs - ESS QVD Builder - Subs","variable","vLATEST_SNAPSHOT_DATE","d362e916-9cdc-4135-ba29-02004e516d9c"
"local:01-qvds-ess-qvd-builder-subs","01 QVDs - ESS QVD Builder - Subs","variable","vDATE","edb4b721-d0d6-47da-90da-42719cc54e5e"
"local:01s-ess-qvd-builder-iep","01s ESS QVD Builder - IEP","field","IEP Activity ID","table IEP_Activity"
"local:01s-ess-qvd-builder-iep","01s ESS QVD Builder - IEP","field","IEP Program Element","table IEP_Activity"
"local:01s-ess-qvd-builder-iep","01s ESS QVD Builder - IEP","field","IEP Program Name","table IEP_Activity"
"local:01s-ess-qvd-builder-iep","01s ESS QVD Builder - IEP","field","IEP Program Element Old","table IEP_Activity"
"local:01s-ess-qvd-builder-iep","01s ESS QVD Builder - IEP","field","Original Activity Approved Date","table IEP_Activity"
"local:01s-ess-qvd-builder-iep","01s ESS QVD Builder - IEP","field","Original Activity Approved Cost","table IEP_Activity"
"local:01s-ess-qvd-builder-iep","01s ESS QVD Builder - IEP","field","IEP Activity Snapshot Date","table IEP_Claim_Payments"
"local:01s-ess-qvd-builder-iep","01s ESS QVD Builder - IEP","field","IEP Payment Extract Date","table IEP_Claim_Payments"
"local:01s-ess-qvd-builder-iep","01s ESS QVD Builder - IEP","field","IEP Payment Key","table IEP_Claim_Payments"
